grade,term_num,bucket,n_loans,ead_$M,r_lc,r_req,gap_bp,approx_gap_ci_low_bp,approx_gap_ci_high_bp,incremental_NII_$M
A,36.0,Reprice,180278.0,1687.7735126399998,0.06959973041781133,0.08332128939970251,-137.21558981891195,-138.24140740414325,-136.1897722336806,23.15888380176343
A,60.0,Hold / Monitor,17556.0,314.86332036999994,0.07461307427236648,0.07602929974753282,-14.162254751663259,-16.26745933027333,-12.057050173053186,0.0
B,36.0,Grow,65368.0,469.96107868,0.10606517827338159,0.0957678059687193,102.9737230466229,101.81963919953746,104.1278068937083,0.0
B,36.0,Hold / Monitor,118432.0,879.89253345,0.1067372909406862,0.10263812212666325,40.99168814022938,40.07916010632715,41.90421617413159,0.0
B,36.0,Reprice,5834.0,32.999679119999996,0.10687327310172258,0.11856692245275414,-116.93649351031567,-121.57008039684251,-112.30290662378884,0.38588667632583784
B,60.0,Grow,80579.0,1289.3249810799998,0.10702487715525275,0.08484598092659291,221.78896228659843,220.06329036661415,223.51463420658277,0.0
B,60.0,Hold / Monitor,242.0,3.7569108300000003,0.10888886334875564,0.1018585248211988,70.30338527556832,52.07911306338331,88.52765748775333,0.0
C,36.0,Grow,139694.0,997.33689615,0.14364147309089886,0.12279696800371706,208.44505087181795,207.01113670633737,209.8789650372985,0.0
C,36.0,Hold / Monitor,1622.0,6.54633294,0.1448580023317425,0.145999154398179,-11.411520664365112,,,0.0
C,36.0,Reprice,1830.0,14.68836849,0.14444996637288185,0.15316251746814313,-87.12551095261284,-92.88825643018612,-81.36276547503957,0.12797316097515082
C,60.0,Grow,124202.0,1823.3185067899997,0.14291186931938035,0.1022418453008092,406.7002401857118,405.15909105918126,408.2413893122424,0.0
C,60.0,Hold / Monitor,382.0,5.330506220000001,0.14385806628681436,0.13857260080415074,52.85465482663634,39.820707811454064,65.88860184181861,0.0
D,36.0,Grow,56528.0,424.91883884,0.1900816578335919,0.15743863498901184,326.4302284458008,323.5564702692178,329.30398662238383,0.0
D,36.0,Hold / Monitor,1.0,0.00395312,0.2145,0.13802070444077547,764.7929555922453,,,0.0
D,36.0,Reprice,987.0,8.75698551,0.19174488911521664,0.20194591547990126,-102.01026364684618,-111.64741602237737,-92.37311127131498,0.08933024006267117
D,60.0,Grow,64981.0,931.5051606499999,0.18696846171704123,0.13044217449537532,565.2628722166596,562.3208215900033,568.2049228433158,0.0
D,60.0,Hold / Monitor,270.0,3.35103508,0.18802396898814064,0.17999186997560931,80.32099012531349,52.659879967930266,107.9821002826967,0.0
E,36.0,Decline / Do not originate,19.0,0.12745102,0.25209505719531144,0.3401718867098177,-880.7682951450624,-971.9469304390876,-789.5896598510371,0.0
E,36.0,Grow,14023.0,103.03784120999998,0.2429561407500855,0.21181569699221758,311.4044375786794,305.8469326749625,316.9619424823964,0.0
E,36.0,Reprice,281.0,1.86264451,0.24373454568715103,0.26609791849368836,-223.6337280653733,-241.0925256623811,-206.1749304683655,0.04165501358318005
E,60.0,Grow,26950.0,348.47919404000004,0.2299021749829494,0.1703451241241428,595.5705085880667,587.6711730799242,603.469844096209,0.0
E,60.0,Hold / Monitor,174.0,1.83452971,0.2369712034523367,0.2446510112452124,-76.79807792875745,-133.1393890389939,-20.456766818521068,0.0
F,36.0,Decline / Do not originate,609.0,3.77556442,0.28666214131493467,0.31244982703677776,-257.87685721843,-279.87127406466084,-235.88244037219926,0.0
F,36.0,Grow,559.0,2.34304512,0.2869461682282696,0.23267802322231274,542.681450059569,501.70595723799437,583.6569428811437,0.0
F,36.0,Hold / Monitor,64.0,0.2818637,0.29114974234630037,0.2634127059456854,277.37036400614994,181.14246777959127,373.59826023270864,0.0
F,60.0,Grow,8023.0,110.95054243999999,0.27200129601881623,0.22698702552315922,450.14270495657024,436.679486013361,463.60592389977967,0.0
F,60.0,Hold / Monitor,89.0,0.8896854599999999,0.2662413429051081,0.26312035830190145,31.209846032066455,-51.67068637492399,114.09037843905689,0.0
F,60.0,Reprice,150.0,1.9290605,0.2626623499207703,0.2736526186777129,-109.90268756942645,-155.8240857045129,-63.981289434340006,0.021200893343402052
G,36.0,Decline / Do not originate,226.0,2.32566652,0.3065824520035558,0.35664395502111845,-500.61503017562666,-518.3027790759752,-482.92728127527823,0.0
G,36.0,Grow,114.0,0.6061333299999999,0.3052716322149594,0.2694876998959126,357.83932319046806,313.5856755811073,402.0929707998289,0.0
G,36.0,Hold / Monitor,79.0,0.41308544999999997,0.29636202525048105,0.2543317837156919,420.30241534789184,308.14510831687835,532.4597223789056,0.0
G,60.0,Decline / Do not originate,97.0,1.30517098,0.2936897832910466,0.3394353350468692,-457.4555175582251,,,0.0
G,60.0,Grow,2230.0,34.19485207,0.2977023217618329,0.27252308527352387,251.79236488309093,238.76428428875846,264.8204454774234,0.0
G,60.0,Hold / Monitor,96.0,1.3169929100000002,0.2955419285965686,0.28934098485829857,62.009437382700106,-5.103825440616493,129.1227002060167,0.0
