purpose,bucket,n_segments,n_loans,ead_$M,r_lc,r_req,gap_bp,approx_gap_ci_low_bp,approx_gap_ci_high_bp,incremental_NII_$M
car,Grow,9.0,6989.0,47.03639624,0.1428921047458954,0.1133000617046718,295.9204304122358,285.18513394212385,306.6557268823478,0.0
car,Hold / Monitor,4.0,127.0,1.38408412,0.1064677218432762,0.10397585384408219,24.91867999194024,1.8742636246811688,47.96309635919932,0.0
car,Reprice,1.0,2245.0,11.535787289999998,0.06893410500492156,0.08011272477391664,-111.78619768995077,-115.788894416433,-107.78350096346853,0.12895417985091612
credit_card,Decline / Do not originate,1.0,15.0,0.11709528,0.3002067224221893,0.32535878662425244,-251.5206420206312,-324.75785051194697,-178.2834335293154,0.0
credit_card,Grow,11.0,155385.0,1633.2508027900003,0.1375975598166433,0.10377953725134527,338.1802256529805,336.11011556914843,340.2503357368124,0.0
credit_card,Hold / Monitor,1.0,6765.0,119.34460269,0.073646187528097,0.07518618719922127,-15.399996711242675,-17.488662274819934,-13.311331147665417,0.0
credit_card,Reprice,1.0,59181.0,554.32879081,0.0690239813699757,0.08076632825639153,-117.42346886415831,-118.2146241648134,-116.6323135635032,6.509120950818455
debt_consolidation,Decline / Do not originate,2.0,737.0,5.45971145,0.29436506385508626,0.3236473782424259,-292.82314387339557,-309.4475985335875,-276.19868921320364,0.0
debt_consolidation,Grow,9.0,307746.0,3787.5836665899997,0.15801241965387988,0.12233453995867963,356.7787969520029,355.21584414405146,358.3417497599542,0.0
debt_consolidation,Hold / Monitor,2.0,105697.0,924.2633512199999,0.10127524848162284,0.09793793153245887,33.37316949163955,32.54819338582127,34.19814559745783,0.0
debt_consolidation,Reprice,1.0,82255.0,838.6133236100001,0.07031751354680763,0.08476339372349949,-144.45880176691864,-145.11560364541265,-143.80199988842463,12.11450758744738
educational,Hold / Monitor,1.0,1.0,0.00395312,0.2145,0.13802070444077547,764.7929555922453,764.7929555922453,764.7929555922453,0.0
home_improvement,Grow,11.0,47077.0,478.96510097,0.1431967999474129,0.11007239129686229,331.24408650550606,327.1865064411435,335.30166656986876,0.0
home_improvement,Hold / Monitor,2.0,1234.0,20.03580398,0.07853624422507909,0.07645750808652234,20.787361385567582,16.69392565677778,24.88079711435738,0.0
home_improvement,Reprice,1.0,14425.0,122.43324234,0.06774436142091898,0.08083423785448972,-130.89876433570734,-132.51007794169473,-129.28745072971995,1.6026360135920208
house,Grow,8.0,3983.0,50.83340288,0.15663848737942526,0.12751293674402675,291.25550635398497,278.7618997169172,303.74911299105275,0.0
house,Hold / Monitor,5.0,1330.0,12.29063633,0.11354632696944698,0.11400637789627777,-4.600509268307652,-13.709756009406806,4.508737472791503,0.0
house,Reprice,1.0,1525.0,15.39503725,0.06820560248574087,0.08448430516431475,-162.78702678573885,-167.50084198110804,-158.07321159036962,0.2506112341183197
major_purchase,Grow,9.0,11631.0,123.65067575000002,0.15417660011335754,0.11960125308908101,345.7534702427655,337.74101701163136,353.7659234738998,0.0
major_purchase,Hold / Monitor,4.0,4807.0,31.535178629999997,0.10700918259187962,0.1022829131882403,47.26269403639339,42.72263695048202,51.80275112230475,0.0
major_purchase,Reprice,1.0,4457.0,33.48536024,0.06885921731867659,0.08408491776155406,-152.2570044287748,-155.05889911409525,-149.45510974345433,0.5098380642360799
medical,Decline / Do not originate,1.0,16.0,0.20542837,0.29968015186297015,0.3469007373619546,-472.20585498984445,-562.1909371516709,-382.220772828018,0.0
medical,Grow,9.0,6658.0,50.991048,0.15793912116858308,0.13957130431580442,183.67816852778654,172.24565590166162,195.1106811539115,0.0
medical,Hold / Monitor,2.0,128.0,1.91125828,0.07947614752261971,0.08244252502810587,-29.663775054861524,-37.16520994053875,-22.16234016918429,0.0
medical,Reprice,2.0,5072.0,24.82220691,0.08706998503462679,0.10013458810162452,-130.6460306699773,-134.50300303245103,-126.78905830750355,0.32429228052603837
moving,Decline / Do not originate,1.0,18.0,0.17049423,0.2950693753614806,0.33271370839086817,-376.44333029387576,-483.6853786804385,-269.20128190731305,0.0
