grade,purpose,n,ead_$M,el_$M,ead_share_%,el_share_%,el_ead_ratio,mismatch_flag
G,small_business,94,1.15,0.34,0.01,0.07,5.955,False
G,renewable_energy,1,0.02,0.0,0.0,0.0,5.466,False
G,medical,20,0.23,0.06,0.0,0.01,5.423,False
G,moving,28,0.2,0.05,0.0,0.01,5.121,False
F,vacation,41,0.31,0.07,0.0,0.02,4.649,False
F,small_business,201,2.21,0.5,0.02,0.11,4.609,False
G,major_purchase,58,0.81,0.18,0.01,0.04,4.594,False
G,other,359,3.91,0.88,0.04,0.19,4.592,False
E,renewable_energy,34,0.31,0.07,0.0,0.01,4.532,False
G,house,54,0.53,0.12,0.01,0.02,4.486,False
G,debt_consolidation,1825,27.57,6.08,0.29,1.3,4.482,False
G,vacation,10,0.04,0.01,0.0,0.0,4.462,False
G,car,15,0.12,0.03,0.0,0.01,4.309,False
G,credit_card,214,3.49,0.7,0.04,0.15,4.09,False
F,moving,97,0.75,0.15,0.01,0.03,4.016,False
F,car,59,0.6,0.11,0.01,0.02,3.891,False
F,medical,113,1.0,0.19,0.01,0.04,3.824,False
F,other,919,8.73,1.61,0.09,0.34,3.741,False
G,home_improvement,164,2.09,0.38,0.02,0.08,3.69,False
F,house,114,1.24,0.22,0.01,0.05,3.567,False
F,debt_consolidation,6232,82.9,14.3,0.87,3.06,3.508,True
F,major_purchase,227,2.74,0.46,0.03,0.1,3.448,False
E,moving,402,2.43,0.41,0.03,0.09,3.425,False
E,small_business,653,6.81,1.14,0.07,0.24,3.404,False
F,home_improvement,567,6.87,1.04,0.07,0.22,3.079,False
E,medical,581,4.36,0.64,0.05,0.14,3.0,False
F,credit_card,918,12.79,1.88,0.13,0.4,2.984,False
F,renewable_energy,6,0.03,0.0,0.0,0.0,2.906,False
E,vacation,297,1.36,0.19,0.01,0.04,2.813,False
E,house,394,4.03,0.54,0.04,0.11,2.702,False
D,small_business,1604,17.86,2.28,0.19,0.49,2.59,False
E,other,3874,29.02,3.68,0.31,0.79,2.581,False
E,major_purchase,968,9.67,1.21,0.1,0.26,2.544,False
E,debt_consolidation,26374,307.94,37.67,3.24,8.05,2.487,True
E,car,324,2.41,0.27,0.03,0.06,2.279,False
D,moving,1022,5.99,0.66,0.06,0.14,2.251,False
E,home_improvement,2440,26.44,2.86,0.28,0.61,2.198,False
D,medical,1824,12.48,1.29,0.13,0.28,2.103,False
E,credit_card,5106,60.55,6.18,0.64,1.32,2.075,False
D,renewable_energy,85,0.66,0.07,0.01,0.01,2.059,False
D,vacation,927,4.29,0.4,0.05,0.09,1.908,False
D,house,1079,11.96,1.1,0.13,0.24,1.873,False
D,other,10224,76.86,6.85,0.81,1.47,1.813,False
C,moving,1867,11.22,0.93,0.12,0.2,1.679,False
D,major_purchase,2823,27.67,2.27,0.29,0.48,1.665,False
D,debt_consolidation,74720,890.97,71.91,9.37,15.37,1.641,False
C,small_business,2720,30.39,2.4,0.32,0.51,1.605,False
D,educational,1,0.0,0.0,0.0,0.0,1.586,False
D,car,1159,8.17,0.63,0.09,0.14,1.575,False
C,renewable_energy,168,1.12,0.08,0.01,0.02,1.479,False
D,home_improvement,7525,79.87,5.79,0.84,1.24,1.475,False
C,medical,3446,23.11,1.58,0.24,0.34,1.391,False
D,credit_card,19774,231.75,15.41,2.44,3.3,1.352,True
C,vacation,1971,7.67,0.5,0.08,0.11,1.318,False
C,house,1758,21.46,1.26,0.23,0.27,1.194,False
C,other,18321,132.06,7.65,1.39,1.63,1.177,False
B,moving,1554,8.9,0.47,0.09,0.1,1.065,False
C,wedding,3,0.02,0.0,0.0,0.0,1.058,False
B,small_business,2322,26.98,1.37,0.28,0.29,1.036,False
C,car,2583,17.92,0.91,0.19,0.2,1.035,False
C,debt_consolidation,155173,1753.24,89.13,18.44,19.06,1.034,False
C,major_purchase,5828,53.72,2.73,0.56,0.58,1.031,False
C,home_improvement,17259,178.79,8.38,1.88,1.79,0.953,False
B,vacation,1950,7.31,0.33,0.08,0.07,0.923,False
B,medical,3439,21.82,0.98,0.23,0.21,0.915,False
C,credit_card,56633,616.5,26.45,6.48,5.66,0.872,False
B,renewable_energy,140,1.13,0.05,0.01,0.01,0.823,False
B,other,16860,123.84,4.68,1.3,1.0,0.768,False
B,wedding,2,0.01,0.0,0.0,0.0,0.759,False
B,house,1853,22.7,0.85,0.24,0.18,0.758,False
A,small_business,1518,18.47,0.65,0.19,0.14,0.718,False
A,moving,907,5.53,0.19,0.06,0.04,0.714,False
B,debt_consolidation,141308,1495.64,50.87,15.73,10.88,0.691,False
B,car,2877,18.0,0.59,0.19,0.13,0.666,False
B,major_purchase,6249,56.23,1.79,0.59,0.38,0.646,False
B,home_improvement,19146,185.08,5.57,1.95,1.19,0.612,False
B,credit_card,72755,708.28,20.91,7.45,4.47,0.6,False
A,vacation,1245,5.01,0.15,0.05,0.03,0.593,False
A,renewable_energy,75,0.67,0.02,0.01,0.0,0.591,False
A,medical,2451,14.93,0.41,0.16,0.09,0.557,False
A,other,10582,77.23,1.89,0.81,0.4,0.496,False
A,house,1586,16.6,0.39,0.17,0.08,0.483,False
A,debt_consolidation,90803,997.66,23.42,10.49,5.01,0.477,False
A,major_purchase,4742,37.83,0.87,0.4,0.19,0.47,False
A,home_improvement,15635,142.29,2.84,1.5,0.61,0.406,False
A,car,2344,12.73,0.25,0.13,0.05,0.405,False
A,credit_card,65946,673.67,13.32,7.08,2.85,0.402,False
